label,pattern,count
0,,3066705
1,-,404156
2,/,165508
3,[,115469
4,/~,95449
5,/-,48332
6,!,44880
7,[/,41332
8,&,34990
9,~,30442
10,(J&,27167
11,/(J~,25722
12,=,25479
13,(>/,25173
14,@,13574
15,=/~,12616
16,[:d,10287
17,],9852
18,(J[,9351
19,:d,8880
20,(W&,8559
21,!(>,8419
22,=/,8290
23,=~,8278
24,(J/,7507
25,/(J&,7430
26,==,7322
27,:p,7005
28,!(>],6123
29,[-,5022
30,=/(J~,4686
31,(W,4551
32,=-,4437
33,=[,4268
34,!(N,4110
35,-&,3904
36,-!,3899
37,=/-,3680
38,(J,3121
39,@(C&,3021
40,[/:p,2972
41,[/:d,2919
42,(J[/,2915
43,[/~,2799
44,=!,2780
45,!(>(T&,2426
46,-(J,2323
47,(T&,2308
48,[&,2235
49,=[/,1980
50,](J&,1978
51,[:d-,1845
52,!(J,1756
53,(L[,1754
54,(N,1671
55,==/~,1664
56,(>/-,1609
57,(>&,1524
58,(>-(>,1492
59,](>&,1289
60,(>,1260
61,(>/(J~,1228
62,==/,1214
63,!(>](J&,1200
64,(L,1098
65,[/(J~,1084
66,(N/,1074
67,:d-,1032
68,!(>](>&,1021
69,=/(J&,991
70,(>=/,935
71,=-(H,922
72,](N,902
73,!(J&,869
74,[/-,840
75,-(>,836
76,@(>&,822
77,=[:d,811
78,:dp,799
79,@(S&,790
80,[(J=,781
81,(>-(H,698
82,==/(J~,671
83,(L[/,641
84,/-(>,609
85,@(Z&,592
86,[-&,526
87,(N-(X,525
88,(N-,518
89,=:d,516
90,==-,457
91,=!(>,431
92,==:d,413
93,-!(N,331
94,(J[-&,328
95,(J(J&,322
96,(>/(J&,319
97,@(Y&,317
98,==/-,313
99,-(H&,311
100,(J(>/,309
101,](>,305
102,!(>](N,297
103,=[/:d,295
104,==/(J&,293
105,(J[-,269
106,(T/,267
107,-(H,267
108,(J=/,256
109,[/:dp,248
110,=[/~,232
111,(>/~,227
112,=!(>],215
113,:d-&,198
114,(J[:d-,196
115,(S[,196
116,==[,196
117,[/(J&,190
118,/(J=-,187
119,=!(N,182
120,=[-,177
121,-!(>,173
122,=[/:p,164
123,-!(J,155
124,:p-,149
125,=[&,138
126,(J(N/,133
127,===/,131
128,==[/,129
129,(J/(J~,121
130,(C[,119
131,=:d-,119
132,=[/(J~,115
133,[:d-&,112
134,(J-,111
135,(N[,110
136,=!(>(T&,110
137,(>=/(J~,105
138,(J[/~,104
139,[(J,103
140,=!(J&,103
141,=-&,96
142,=!(>](J&,90
143,(L[-,90
144,(R[,87
145,===/(J~,82
146,/&,77
147,[/:p-,76
148,(J[/(J~,75
149,(J/-,72
150,(W/,72
151,[:dp,70
152,(R[/,67
153,=:p-,67
154,(C[/,66
155,(J=[/,66
156,!&,66
157,=[:d-,65
158,(</-,65
159,-(J&,64
160,==:d-,63
161,(J(J[,63
162,(Z[,58
163,[/:d-,56
164,(>==/,56
165,(J~,55
166,(N:d-(X,50
167,(G[,49
168,-!&,49
169,=!(J,49
170,(B[,45
171,(S[/,44
172,=[/:p-,42
173,(R=[/,42
174,===/-,42
175,(B[/,42
176,(N[/,41
177,@&,40
178,(N===[,39
179,(J/(J&,38
180,(R=[,37
181,=:d-&,37
182,===/~,35
183,(>==/(J~,35
184,(D[,35
185,(M[/,35
186,(J[/-,35
187,:p-(J,35
188,(H&,34
189,(G[/,33
190,!(>(T@(>&,32
191,!(>&,31
192,(>=/(J&,31
193,(P[,31
194,[(J=:d-,29
195,(W(N/~,29
196,=!(>](N,28
197,==[-,28
198,(N:p-(X,28
199,(>=/&,28
200,(L(>/,27
201,(K[,26
202,(B[-,25
203,(J=[,25
204,@(>],25
205,(H,24
206,[/(J-(X,23
207,(J[/:p,21
208,@(>,21
209,[:p,21
210,(>(N(>/,21
211,(J/~,21
212,(J(N/(J~,21
213,=[:d-&,21
214,=[:p,21
215,(N&,21
216,(Z[/,21
217,(J/&,21
218,(Q[,20
219,=!(>](>&,20
220,(B/-,18
221,:dp-,17
222,(N==[/,17
223,(C&,17
224,=-(J,15
225,(L=[/,15
226,[(J:d,14
227,(P[/,14
228,(L[/-,14
229,(J==[/,14
230,@(T,14
231,(J==/,14
232,(R,14
233,-(N,14
234,[(J=-,14
235,==[(J=,14
236,(</,14
237,(>[,14
238,(G[/-,14
239,(M[,14
240,(N(>=/,14
241,(X(>&,14
242,/(T~(>,14
243,(X[,14
244,=[/-,14
245,(S[-,14
246,(L[(J=,14
247,/(J-,14
248,(J=/~,14
249,[(J=:d,14
250,(>-,14
251,(T=/,10
252,(V[-,10
253,==[:d,9
254,(D[/,9
255,====[,9
256,-!(J&,8
257,[/-(X,8
258,(T,7
259,(W(B/,7
260,(N/~,7
261,(M,7
262,[(W,7
263,](J,7
264,=[(J,7
265,==[-&,7
266,=:dp-,7
267,(S,7
268,==[/(>-(>(N,7
269,(L[/~,7
270,(L[&,7
271,(C[-,7
272,(V,7
273,(J=[-,7
274,(M[/~,7
275,(J==[,7
276,=[/:dp,7
277,(G[-,7
278,==[/:dp,7
279,==[/~,7
280,(S[:d-,7
281,(B,7
282,==[/(J~,7
283,====/,7
284,(S[&,7
285,(Q[/,7
286,(D&,7
287,==[&,7
288,(L=[&,7
289,!(>(T@,7
290,(R[-,7
291,[:p-,7
292,@(N,7
293,(C[:d-,7
294,(Y[/,7
295,(P[-,7
296,(H/-,7
297,(L(>/(J~,7
298,(S[/:d,7
299,(N===[&,7
300,(T[/,7
301,[/(J,7
302,(W/-,7
303,(D=[&,7
304,(J[&,7
305,===[/:d,7
306,(H/,7
307,(C/,7
308,(N[-,7
309,(L[-&,7
310,(K[:d-,7
311,=[(J:d,7
312,(J[:d-&,7
