subdir	dataset	seed	source_run
bert	s2_on_s2	seed42	outputs/bert_test_20260607_134927
bert	s2_on_s2	seed49	outputs/bert_train_20260607_182544
bert	s2_on_s2	seed50	outputs/bert_train_20260607_113127
bert	s2_on_s2	seed51	outputs/bert_train_20260607_120809
bert	s2_on_s2	seed52	outputs/bert_train_20260607_121610
bert	s4_on_s2	seed42	outputs/bert_test_20260607_135252
bert	s4_on_s2	seed49	outputs/bert_train_20260607_184144
bert	s4_on_s2	seed50	outputs/bert_train_20260607_184150
bert	s4_on_s2	seed51	outputs/bert_train_20260607_184156
bert	s4_on_s2	seed52	outputs/bert_train_20260607_130110
bilstm_crf	s2_on_s2	seed42	outputs/lstm_test_20260607_133458
bilstm_crf	s2_on_s2	seed49	outputs/lstm_train_20260607_182521
bilstm_crf	s2_on_s2	seed50	outputs/lstm_train_20260606_221941
bilstm_crf	s2_on_s2	seed51	outputs/lstm_train_20260607_032454
bilstm_crf	s2_on_s2	seed52	outputs/lstm_train_20260607_034835
bilstm_crf	s4_on_s2	seed42	outputs/lstm_test_20260607_133602
bilstm_crf	s4_on_s2	seed49	outputs/lstm_train_20260607_074628
bilstm_crf	s4_on_s2	seed50	outputs/lstm_train_20260607_065040
bilstm_crf	s4_on_s2	seed51	outputs/lstm_train_20260607_182522
bilstm_crf	s4_on_s2	seed52	outputs/lstm_train_20260607_182528
encoder_crf	s2_on_s2	seed42	outputs/transformer_test_20260607_133735
encoder_crf	s2_on_s2	seed49	outputs/transformer_train_20260607_182531
encoder_crf	s2_on_s2	seed50	outputs/transformer_train_20260606_221950
encoder_crf	s2_on_s2	seed51	outputs/transformer_train_20260607_015700
encoder_crf	s2_on_s2	seed52	outputs/transformer_train_20260607_182535
encoder_crf	s4_on_s2	seed42	outputs/transformer_test_20260607_133837
encoder_crf	s4_on_s2	seed49	outputs/transformer_train_20260607_135610
encoder_crf	s4_on_s2	seed50	outputs/transformer_train_20260607_042241
encoder_crf	s4_on_s2	seed51	outputs/transformer_train_20260607_182540
encoder_crf	s4_on_s2	seed52	outputs/transformer_train_20260607_225929
mdlm	s2_on_s2	seed42	outputs/mdlm_test_20260608_102239
mdlm	s2_on_s2	seed43	outputs/mdlm_train_20260607_222336
mdlm	s2_on_s2	seed46	outputs/mdlm_train_20260607_222340
mdlm	s2_on_s2	seed48	outputs/mdlm_train_20260607_222344
mdlm	s2_on_s2	seed49	outputs/mdlm_train_20260607_235449
mdlm	s4_on_s2	seed42	outputs/mdlm_test_20260608_111251
mdlm	s4_on_s2	seed43	outputs/mdlm_train_20260607_204754
mdlm	s4_on_s2	seed46	outputs/mdlm_train_20260607_204758
mdlm	s4_on_s2	seed48	outputs/mdlm_train_20260608_000101
mdlm	s4_on_s2	seed49	outputs/mdlm_train_20260608_000105
