study,trial,state,objective_value,datetime_start,num_encoder_layers,num_decoder_layers,emb_size,nhead,ffn_hid_dim,batch_size,learning_rate,dropout,epochs
s2_word_acc_20251210_214801,2,COMPLETE,0.696000,2025-12-10 21:48,4,4,256,8,,128,0.0007509293154615126,0.2558773360547907,43
s2_word_acc_20251210_214801,5,COMPLETE,0.695900,2025-12-11 01:10,4,2,512,8,,128,0.00010966173338865697,0.09610354863116681,42
s2_word_acc_20251210_214801,16,COMPLETE,0.695600,2025-12-11 10:50,5,4,256,8,,128,0.0002691576422291672,0.27220244127538756,49
s2_word_acc_20251210_214801,14,COMPLETE,0.695400,2025-12-11 08:39,4,2,256,8,,128,0.0009053632763510896,0.05265124217224633,50
s2_word_acc_20251210_214801,15,COMPLETE,0.695000,2025-12-11 08:51,4,2,256,8,,128,0.0009258000658048444,0.0590721374495328,38
s2_word_acc_20251210_214801,18,COMPLETE,0.694600,2025-12-11 11:16,3,4,256,8,,128,0.00024440316440737793,0.22313344942921742,41
s2_word_acc_20251210_214801,6,COMPLETE,0.684900,2025-12-11 02:51,2,5,512,4,,128,2.1234395257521873e-05,0.11770759556178483,33
s2_word_acc_20251210_214801,7,COMPLETE,0.669600,2025-12-11 03:08,2,3,384,8,,192,9.341257819870707e-05,0.11863671829639875,32
s2_word_acc_20251210_214801,12,COMPLETE,0.652000,2025-12-11 07:19,5,6,512,8,,256,0.00013530815338646705,0.2464281304125746,21
s2_word_acc_20251210_214801,10,COMPLETE,0.650900,2025-12-11 04:54,2,3,384,8,,192,2.5900848767199183e-05,0.17893847472973734,45
s2_word_acc_20251210_214801,4,COMPLETE,0.645400,2025-12-10 23:57,4,3,384,4,,256,7.816511570553572e-05,0.1330957382033648,21
s2_word_acc_20251210_214801,3,COMPLETE,0.643900,2025-12-10 21:48,6,5,256,4,,256,5.24851446214525e-05,0.1322372770891953,45
s2_word_acc_20251210_214801,11,COMPLETE,0.633700,2025-12-11 06:13,2,2,384,8,,256,2.9403488148682117e-05,0.20406513040887042,49
s2_word_acc_20251210_214801,1,COMPLETE,0.602700,2025-12-10 21:48,3,6,384,4,,256,1.0643536267545191e-05,0.15279105237905283,40
s2_word_acc_20251210_214801,0,COMPLETE,0.460100,2025-12-10 21:48,6,5,512,8,,192,0.0005176370798184497,0.11318056607050982,36
s2_word_acc_20251210_214801,13,COMPLETE,0.000000,2025-12-11 07:46,5,4,256,8,,128,0.000981435691255714,0.26577735783503526,26
s2_word_acc_20251210_214801,19,COMPLETE,0.000000,2025-12-11 13:26,5,4,512,8,,128,0.0001779373264217427,0.29082358448047396,47
s2_word_acc_20251210_214801,20,FAIL,,2025-12-11 13:35,3,2,512,8,,128,0.00015964282584391538,0.1863103503017141,30
s2_word_acc_20251211_143748,0,COMPLETE,0.694600,2025-12-11 14:37,2,4,384,4,,128,0.00038610289609015996,0.05315559200056337,23
s2_word_acc_20251211_143748,2,COMPLETE,0.660700,2025-12-11 14:37,3,3,512,8,,128,1.1100348584194315e-05,0.10200540167880344,29
s2_word_acc_20251211_143748,1,COMPLETE,0.000000,2025-12-11 14:37,2,5,384,8,,128,0.00010273871213625507,0.08495753280691247,50
s2_word_acc_20251211_143748,4,COMPLETE,0.000000,2025-12-11 15:57,2,5,384,8,,256,8.845451745497293e-05,0.19229739407204283,50
s2_word_acc_20251211_143748,5,COMPLETE,0.000000,2025-12-11 16:12,3,6,384,8,,128,2.7207033149676457e-05,0.09143545645388791,40
s2_word_acc_20251211_143748,3,FAIL,,2025-12-11 14:37,6,3,512,4,,128,5.37253718570637e-05,0.08412170097557191,41
s2_word_acc_20251211_162249,15,COMPLETE,0.980300,2025-12-11 17:33,2,2,512,4,,128,0.0001291202677328155,0.2350497741761243,49
s2_word_acc_20251211_162249,3,COMPLETE,0.975800,2025-12-11 16:22,6,3,256,4,,256,0.00012778708106783973,0.0756819506606294,40
s2_word_acc_20251211_162249,12,COMPLETE,0.968400,2025-12-11 17:24,4,2,256,4,,192,7.846585824975921e-05,0.07258563446653864,35
s2_word_acc_20251211_162249,11,COMPLETE,0.940400,2025-12-11 17:19,5,6,384,8,,192,2.3778534559384386e-05,0.10780334388073663,27
s2_word_acc_20251211_162249,13,COMPLETE,0.856400,2025-12-11 17:30,2,6,512,8,,128,1.1345404142040734e-05,0.22767905626997054,20
s2_word_acc_20251211_162249,5,COMPLETE,0.663800,2025-12-11 16:39,6,5,256,4,,256,0.0006390103730169021,0.19374464457358054,43
s2_word_acc_20251211_162249,1,COMPLETE,0.663300,2025-12-11 16:22,4,5,384,8,,128,0.000648116146758292,0.18319855836872662,36
s2_word_acc_20251211_162249,8,COMPLETE,0.595500,2025-12-11 16:55,6,3,256,8,,192,3.133646876528041e-05,0.2834697466722694,36
s2_word_acc_20251211_162249,14,COMPLETE,0.000000,2025-12-11 17:33,2,2,512,4,,128,0.00012399455353746808,0.23047436752466294,21
s2_word_acc_20251211_162249,17,COMPLETE,0.000000,2025-12-11 17:40,2,6,512,4,,128,6.496959955919876e-05,0.2557195902531459,49
s2_word_acc_20251211_162249,19,COMPLETE,0.000000,2025-12-11 17:49,2,4,512,4,,128,0.00022074830719860284,0.20305629912035839,50
s2_word_acc_20251211_162249,20,COMPLETE,0.000000,2025-12-11 18:02,2,4,512,4,,128,0.00024113976312389589,0.1568955051914942,50
