epoch,T1_fp32,T2_fp32,T3_fp32,T4_fp32,T1_bf16,T2_bf16,T3_bf16,T4_bf16
1,0.9268,0.9140,0.9000,0.8942,0.9248,0.9140,0.9075,0.8976
2,0.9475,0.9421,0.9358,0.9311,0.9504,0.9413,0.9378,0.9342
3,0.9542,0.9513,0.9447,0.9411,0.9567,0.9520,0.9487,0.9437
4,0.9587,0.9548,0.9511,0.9525,0.9594,0.9546,0.9487,0.9534
5,0.9587,0.9552,0.9555,0.9540,0.9601,0.9567,0.9536,0.9548
6,0.9606,0.9582,0.9567,0.9539,0.9622,0.9587,0.9576,0.9576
7,0.9614,0.9602,0.9581,0.9556,0.9631,0.9579,0.9590,0.9560
8,0.9623,0.9609,0.9596,0.9591,0.9620,0.9590,0.9592,0.9588
9,0.9630,0.9598,0.9600,0.9571,0.9630,0.9604,0.9592,0.9582
10,0.9567,0.9615,0.9583,0.9608,0.9637,0.9615,0.9597,0.9590
11,0.9634,0.9608,0.9604,0.9607,0.9640,0.9606,0.9588,0.9607
12,0.9643,0.9626,0.9604,0.9604,0.9628,0.9617,0.9610,0.9602
13,0.9646,0.9631,0.9610,0.9611,0.9635,0.9604,0.9603,0.9586
14,0.9633,0.9634,0.9616,0.9600,0.9635,0.9628,0.9623,0.9621
15,0.9642,0.9633,0.9600,0.9620,0.9641,0.9629,0.9619,0.9616
16,0.9640,0.9636,0.9618,0.9620,0.9646,0.9636,0.9635,0.9618
17,0.9645,0.9640,0.9623,0.9622,0.9647,0.9633,0.9619,0.9609
18,0.9644,0.9622,0.9630,0.9627,0.9645,0.9638,0.9621,0.9620
19,0.9583,0.9640,0.9625,0.9627,0.9656,0.9636,0.9632,0.9624
20,0.9646,0.9626,0.9618,0.9623,0.9641,0.9630,0.9626,0.9621
21,0.9648,0.9649,0.9634,0.9629,0.9648,0.9637,0.9615,0.9621
22,0.9642,0.9637,0.9639,0.9632,0.9652,0.9631,0.9631,0.9634
23,0.9649,0.9643,0.9637,0.9639,0.9660,0.9646,0.9640,0.9637
24,0.9652,0.9645,0.9634,0.9637,0.9655,0.9653,0.9637,0.9638
25,0.9657,0.9645,0.9653,0.9633,0.9657,0.9644,0.9636,0.9645
26,0.9651,0.9650,0.9639,0.9638,0.9656,0.9642,0.9643,0.9637
27,0.9655,0.9649,0.9643,0.9641,0.9644,0.9648,0.9645,0.9640
28,0.9656,0.9643,0.9647,0.9640,0.9654,0.9648,0.9640,0.9646
29,0.9644,0.9644,0.9642,0.9649,0.9653,0.9653,0.9644,0.9637
30,0.9654,0.9650,0.9654,0.9649,0.9656,0.9655,0.9647,0.9644
31,0.9660,0.9650,0.9646,0.9652,0.9650,0.9644,0.9641,0.9642
32,0.9653,0.9647,0.9652,0.9654,0.9658,0.9636,0.9625,0.9634
33,0.9652,0.9651,0.9652,0.9643,0.9656,0.9647,0.9647,0.9650
34,0.9657,0.9649,0.9654,0.9652,0.9657,0.9644,0.9645,0.9652
35,0.9660,0.9652,0.9651,0.9649,0.9652,0.9652,0.9650,0.9648
36,0.9658,0.9657,0.9656,0.9635,0.9649,0.9658,0.9657,0.9645
37,0.9659,0.9646,0.9654,0.9652,0.9657,0.9649,0.9651,0.9649
38,0.9661,0.9647,0.9640,0.9643,0.9658,0.9643,0.9640,0.9640
39,0.9655,0.9647,0.9654,0.9655,0.9660,0.9645,0.9655,0.9650
40,0.9650,0.9660,0.9648,0.9655,0.9660,0.9652,0.9647,0.9611
41,0.9653,0.9648,0.9647,0.9647,0.9664,0.9641,0.9659,0.9647
42,0.9650,0.9648,0.9649,0.9661,0.9664,0.9648,0.9652,0.9664
43,0.9653,0.9655,0.9654,0.9659,0.9659,0.9649,0.9646,0.9647
44,0.9660,0.9655,0.9654,0.9666,0.9663,0.9648,0.9656,0.9648
45,0.9660,0.9655,0.9651,0.9657,0.9663,0.9650,0.9658,0.9651
46,0.9649,0.9659,0.9648,0.9658,0.9665,0.9655,0.9651,0.9661
47,0.9657,0.9656,0.9647,0.9647,0.9658,0.9646,0.9646,0.9646
48,0.9652,0.9654,0.9652,0.9647,0.9663,0.9653,0.9656,0.9660
49,0.9658,0.9652,0.9651,0.9651,0.9664,0.9655,0.9654,0.9657
50,0.9659,0.9657,0.9667,0.9650,0.9665,0.9649,0.9647,0.9652
51,0.9666,0.9654,0.9657,0.9657,0.9668,0.9652,0.9648,0.9656
52,0.9655,0.9636,0.9648,0.9662,0.9665,0.9649,0.9656,0.9654
53,0.9651,0.9662,0.9654,0.9655,0.9664,0.9654,0.9651,0.9647
54,0.9659,0.9659,0.9652,0.9642,0.9668,0.9650,0.9655,0.9654
55,0.9657,0.9655,0.9651,0.9649,0.9654,0.9653,0.9657,0.9653
56,0.9599,0.9655,0.9656,0.9660,0.9662,0.9658,0.9655,0.9655
57,0.9665,0.9653,0.9656,0.9666,0.9664,0.9659,0.9657,0.9653
58,0.9655,0.9656,0.9650,0.9659,0.9663,0.9651,0.9630,0.9657
59,0.9658,0.9656,0.9654,0.9670,0.9661,0.9660,0.9650,0.9655
60,0.9659,0.9654,0.9660,0.9662,0.9668,0.9651,0.9662,0.9650
